Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Artemios Kouvaris,Panathinaikos,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Artur Drozdov,Elan Bearnais Pau-Orthez,20,454,59,119,0.496,21,47,0.447,38,72,0.528,0.584,16,30,0.533,20,39,59,28,10,8,22,33,155
Arturas Javtokas,BC Zalgiris,13,148,16,36,0.444,0,0,,16,36,0.444,0.444,15,17,0.882,9,18,27,6,3,0,11,34,47
Arvydas Macijauskas,TAU Ceramica,20,612,119,242,0.492,40,101,0.396,79,141,0.56,0.574,111,122,0.91,10,40,50,42,32,4,45,48,389
Arvydas Sabonis,BC Zalgiris,18,509,107,191,0.56,15,41,0.366,92,150,0.613,0.599,71,102,0.696,43,150,193,43,18,29,36,46,300
Ashraf Amaya,Fenerbahçe,2,24,0,3,0,0,0,,0,3,0,0,1,2,0.5,1,6,7,0,1,0,1,9,1
Asier Arzallus,TAU Ceramica,1,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Asier Garcia,Pamesa Valencia,13,129,19,43,0.442,11,21,0.524,8,22,0.364,0.57,5,10,0.5,4,13,17,5,3,2,5,17,54
Avraham Ben Chimol,Maccabi Tel Aviv,2,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,1,0,0,0,0,2
Barisa Krasic,Cibona Zagreb,18,277,41,85,0.482,18,38,0.474,23,47,0.489,0.588,14,17,0.824,13,22,35,5,8,7,11,50,114
Berni Rodriguez,Unicaja Malaga,13,283,38,80,0.475,24,53,0.453,14,27,0.519,0.625,17,20,0.85,2,22,24,21,11,0,16,32,117
Blagota Sekulic,AEK Athens,13,190,24,43,0.558,3,6,0.5,21,37,0.568,0.593,9,20,0.45,11,18,29,3,3,4,8,33,60
Bootsy Thornton,Montepaschi Siena,22,686,95,234,0.406,27,74,0.365,68,160,0.425,0.464,86,114,0.754,36,72,108,57,40,0,46,67,303
Boris Gnjidic,KK Krka,10,171,19,47,0.404,9,24,0.375,10,23,0.435,0.5,13,16,0.813,8,4,12,8,12,2,11,28,60
Boris Gorenc,Olympiacos,20,448,60,120,0.5,9,32,0.281,51,88,0.58,0.538,41,59,0.695,15,33,48,24,13,1,23,40,170
Bradley Traina,Fenerbahçe,6,106,17,38,0.447,8,23,0.348,9,15,0.6,0.553,5,7,0.714,7,9,16,3,3,0,6,15,47
Branko Milisavljevic,Olympiacos,4,62,6,14,0.429,2,5,0.4,4,9,0.444,0.5,3,5,0.6,1,5,6,4,1,0,4,10,17
Bruno Morabito,Lottomatica Roma,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Bruno Sundov,Maccabi Tel Aviv,4,19,4,5,0.8,0,0,,4,5,0.8,0.8,2,2,1,3,1,4,0,0,0,1,5,10
Cal Bowdler,Lottomatica Roma,12,115,17,31,0.548,1,2,0.5,16,29,0.552,0.565,11,16,0.688,8,20,28,1,6,4,7,15,46
Carlos Cabezas,Unicaja Malaga,14,337,39,84,0.464,10,38,0.263,29,46,0.63,0.524,24,35,0.686,6,19,25,20,11,0,16,28,112
Carlos Delfino,Skipper Fortitudo Bologna,21,651,92,222,0.414,27,80,0.338,65,142,0.458,0.475,49,63,0.778,37,89,126,47,35,3,36,58,260
Carlton Myers,Lottomatica Roma,11,341,48,131,0.366,29,75,0.387,19,56,0.339,0.477,34,39,0.872,6,21,27,32,12,0,33,35,159
Cesar Bravo,FC Barcelona,1,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0
Charles Evans,Alba Berlin,8,133,13,27,0.481,2,10,0.2,11,17,0.647,0.519,7,7,1,2,6,8,11,6,0,14,13,35
Christian Drejer,FC Barcelona,4,43,6,15,0.4,3,6,0.5,3,9,0.333,0.5,1,2,0.5,4,2,6,2,1,0,3,9,16
Christos Harissis,Olympiacos,20,462,48,123,0.39,24,71,0.338,24,52,0.462,0.488,32,40,0.8,15,30,45,48,14,1,29,65,152
