,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Birth Date,City,Country
326,Džanan Musa,2,2019,2020,49,526,73,194,20,88,45,62,22,91,45,17,1,40,31,211,0.376,0.227,0.726,10.7,4.3,1.9,0.9,8-May-99,Bihac,Bosnia
327,Jusuf Nurkić,6,2015,2020,318,7356,1497,3045,5,52,750,1114,799,2562,621,272,416,654,995,3749,0.492,0.096,0.673,23.1,11.8,8.1,2,23-Aug-94,Tuzla,Bosnia
328,Zoran Planinić,3,2004,2006,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,0.405,0.289,0.677,10.7,3.8,1.3,1.1,12-Sep-82,Mostar,Bosnia
329,Vladimir Radmanović,12,2002,2013,737,16164,2148,5177,971,2567,612,807,654,2784,998,537,263,837,1552,5879,0.415,0.378,0.758,21.9,8,3.8,1.4,19-Nov-80,Trebinje,Bosnia
330,Mirza Teletović,6,2013,2018,324,5765,927,2285,541,1460,241,319,189,1042,273,104,82,255,552,2636,0.406,0.371,0.755,17.8,8.1,3.2,0.8,18-Sep-85,Mostar,Bosnia
331,Ratko Varda,1,2002,2002,1,6,2,3,0,0,1,1,0,1,0,0,0,1,3,5,0.667,,1,6,5,1,0,6-May-79,Bosanska Gradiska,Bosnia
332,Ivica Zubac,4,2017,2020,212,3385,635,1124,0,6,296,392,398,1187,200,52,165,187,418,1566,0.565,0,0.755,16,7.4,5.6,0.9,18-Mar-97,Mostar,Bosnia
334,Garth Joseph,1,2001,2001,4,16,1,5,0,0,0,2,2,2,1,0,1,2,1,2,0.2,,0,4,0.5,0.5,0.3,8-Aug-73,Roseau,Dominica
336,Ruben Boumtje-Boumtje,3,2002,2004,44,276,14,38,0,0,15,27,22,57,6,4,17,14,40,43,0.368,,0.556,6.3,1,1.3,0.1,20-May-78,Edea,Cameroon
337,Joel Embiid,4,2017,2020,209,6358,1672,3485,238,747,1423,1795,505,2397,651,158,374,736,706,5005,0.48,0.319,0.793,30.4,23.9,11.5,3.1,16-Mar-94,Yaounde,Cameroon
338,Luc Mbah a Moute,12,2009,2020,689,16038,1685,3708,207,619,803,1218,962,2800,588,612,263,646,1242,4380,0.454,0.334,0.659,23.3,6.4,4.1,0.9,9-Sep-86,Yaounde,Cameroon
339,Pascal Siakam,4,2017,2020,276,7196,1375,2752,240,718,553,724,331,1537,631,222,192,402,686,3543,0.5,0.334,0.764,26.1,12.8,5.6,2.3,2-Apr-94,Douala,Cameroon
341,Bismack Biyombo,9,2012,2020,636,12864,1232,2367,0,2,809,1408,1255,3968,338,159,852,577,1408,3273,0.52,0,0.575,20.2,5.1,6.2,0.5,28-Aug-92,Lubumbashi,Congo
342,Christian Eyenga,2,2011,2012,51,1049,136,331,26,94,22,36,31,137,40,37,33,50,85,320,0.411,0.277,0.611,20.6,6.3,2.7,0.8,22-Jun-89,Kinshasa,Congo
343,Didier Ilunga-Mbenga,7,2005,2011,234,1566,180,383,0,2,54,89,129,351,41,37,141,87,286,414,0.47,0,0.607,6.7,1.8,1.5,0.2,30-Dec-80,Kinshasa,Congo
344,Emmanuel Mudiay,5,2016,2020,300,7176,1222,3049,276,855,576,774,138,884,1139,214,88,669,491,3296,0.401,0.323,0.744,23.9,11,2.9,3.8,5-Mar-96,Kinshasa,Congo
345,Dikembe Mutombo*,18,1992,2009,1196,36791,4169,8045,0,2,3391,4960,3808,12359,1240,494,3289,2173,3383,11729,0.518,0,0.684,30.8,9.8,10.3,1,25-Jun-66,Kinshasa,Congo
347,Duje Dukan,1,2016,2016,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,0.2,0.4,,24,6,4,1,4-Dec-91,Split,Croatia
348,Gordan Giriček,6,2003,2008,384,8824,1424,3225,289,786,533,648,167,941,584,222,47,517,749,3670,0.442,0.368,0.823,23,9.6,2.5,1.5,20-Jun-77,Zagreb,Croatia
349,Mario Hezonja,5,2016,2020,330,6107,854,2047,266,833,310,382,147,1026,415,243,80,371,549,2284,0.417,0.319,0.812,18.5,6.9,3.1,1.3,25-Feb-95,Dubrovnik,Croatia
350,Mario Kasun,2,2005,2006,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,0.467,0,0.636,7.8,2.7,2.6,0.2,5-Apr-80,Split,Croatia
351,Toni Kukoč,13,1994,2006,846,22212,3633,8127,731,2184,1813,2487,1016,3555,3119,817,290,1544,1465,9810,0.447,0.335,0.729,26.3,11.6,4.2,3.7,18-Sep-68,Split,Croatia
352,Kosta Perović,1,2008,2008,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,0.3,,0.667,5.4,1.4,1.9,0.1,19-Feb-85,Osijek,Croatia
353,Dražen Petrović*,4,1990,1993,290,7669,1705,3369,255,583,796,946,240,669,701,265,27,596,751,4461,0.506,0.437,0.841,26.4,15.4,2.3,2.4,22-Oct-64,Sibenik,Croatia
354,Dino Radja*,4,1994,1997,224,7308,1516,3052,0,3,701,954,497,1883,356,201,282,495,745,3733,0.497,0,0.735,32.6,16.7,8.4,1.6,24-Apr-67,Split,Croatia
355,Damjan Rudež,3,2015,2017,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,0.424,0.373,0.774,11.2,3.3,0.6,0.6,17-Jun-86,Zagreb,Croatia
356,Luka Šamanić,1,2020,2020,3,48,5,16,3,8,3,4,1,10,6,0,2,2,6,16,0.313,0.375,0.75,16,5.3,3.3,2,9-Jan-00,Zagreb,Croatia
357,Dario Šarić,4,2017,2020,306,8094,1344,3051,465,1298,590,705,492,1896,634,190,75,516,660,3743,0.441,0.358,0.837,26.5,12.2,6.2,2.1,8-Apr-94,Sibenik,Croatia
358,Predrag Savović,1,2003,2003,27,256,29,93,4,26,21,29,9,25,22,14,1,21,33,83,0.312,0.154,0.724,9.5,3.1,0.9,0.8,21-May-76,Pula,Croatia
359,Peja Stojaković,13,1999,2011,804,26966,4825,10719,1760,4392,2237,2500,747,3782,1408,747,106,1090,1398,13647,0.45,0.401,0.895,33.5,17,4.7,1.8,9-Jun-77,Slavoska Pozega,Croatia
360,Bruno Šundov,7,1999,2005,102,524,79,222,5,24,10,19,32,107,18,15,14,30,106,173,0.356,0.208,0.526,5.1,1.7,1,0.2,10-Feb-80,Split,Croatia
361,Žan Tabak,6,1995,2001,247,3607,537,1062,0,3,159,303,325,883,165,65,126,269,577,1233,0.506,0,0.525,14.6,5,3.6,0.7,15-Jun-70,Split,Croatia
362,Roko Ukić,2,2009,2010,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,0.387,0.189,0.746,11.6,4,0.9,1.9,12-May-84,Split,Croatia
363,Stojko Vranković,5,1991,1999,170,2050,197,413,0,0,79,132,155,516,59,22,179,132,318,473,0.477,,0.598,12.1,2.8,3,0.3,22-Jan-64,Drnis,Croatia
364,Ante Žižić,3,2018,2020,113,1517,273,470,0,0,128,180,150,446,64,22,40,82,170,674,0.581,,0.711,13.4,6,3.9,0.6,4-Jan-97,Split,Croatia
366,Alvin Jones,1,2002,2002,23,126,8,20,0,0,10,20,13,36,3,3,9,11,35,26,0.4,,0.5,5.5,1.1,1.6,0.1,9-Sep-78,Luxembourg,Luxembourg
368,Rafael Araújo,3,2005,2007,139,1585,156,385,1,4,76,112,124,395,41,51,16,111,300,389,0.405,0.25,0.679,11.4,2.8,2.8,0.3,12-Aug-80,Curitiba,Brazil
369,Leandro Barbosa,14,2004,2017,850,18386,3403,7409,988,2556,1241,1511,319,1720,1775,693,121,1061,1651,9035,0.459,0.387,0.821,21.6,10.6,2,2.1,28-Nov-82,Sao Paulo,Brazil
370,Bruno Caboclo,6,2015,2020,99,1257,154,385,62,196,55,65,79,254,71,36,57,65,129,425,0.4,0.316,0.846,12.7,4.3,2.6,0.7,21-Sep-95,Osasco,Brazil
371,Vítor Faverani,1,2014,2014,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,0.435,0.3,0.649,13.2,4.4,3.5,0.4,5-May-88,Porto Alegre,Brazil
372,Cristiano Felício,5,2016,2020,234,3470,424,741,0,12,207,305,371,966,174,68,50,151,348,1055,0.572,0,0.679,14.8,4.5,4.1,0.7,7-Jul-92,Pouso Alegre,Brazil
373,Rolando Ferreira,1,1989,1989,12,34,1,18,0,0,7,8,4,13,1,0,1,6,7,9,0.056,,0.875,2.8,0.8,1.1,0.1,24-May-64,Curitiba,Brazil
374,Alex Garcia,2,2004,2005,10,159,19,59,5,18,4,6,7,15,18,6,1,9,15,47,0.322,0.278,0.667,15.9,4.7,1.5,1.8,4-Mar-80,Orlandia,Brazil
375,Nenê Hilário,17,2003,2019,965,25237,4175,7621,7,53,2552,3864,1688,5828,1719,1041,721,1688,2934,10909,0.548,0.132,0.66,26.2,11.3,6,1.8,13-Sep-82,Sao Carlos,Brazil
376,Marcelo Huertas,2,2016,2017,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,0.409,0.25,0.783,14.6,3.9,1.5,3.1,25-May-83,Sao Paulo,Brazil
377,Fab Melo,1,2013,2013,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,0.5,,0.25,6,1.2,0.5,0,20-Jun-90,Juiz de Forz,Brazil
378,Raul Neto,5,2016,2020,253,3485,465,1043,147,388,153,194,45,322,471,134,21,242,307,1230,0.446,0.379,0.789,13.8,4.9,1.3,1.9,19-May-92,Belo Horizonte,Brazil
379,Lucas Nogueira,4,2015,2018,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446,0.632,0.265,0.64,12.4,3.2,2.8,0.5,26-Jul-92,Sao Goncalo,Brazil
380,Tiago Splitter,7,2011,2017,355,6812,1073,1932,2,14,668,958,576,1779,423,198,209,384,685,2816,0.555,0.143,0.697,19.2,7.9,5,1.2,1-Jan-85,Joinville,Brazil
381,Anderson Varejão,13,2005,2017,627,15051,1804,3534,1,42,952,1509,1504,4511,734,537,405,592,1630,4561,0.51,0.024,0.631,24,7.3,7.2,1.2,28-Sep-82,Santa Teresa,Brazil
382,João Vianna,1,1992,1992,1,9,1,2,0,0,0,0,0,0,2,0,0,1,3,2,0.5,,,9,2,0,2,15-Nov-66,Brasilia,Brazil
383,Marcus Vinicius,2,2007,2008,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,0.457,0.421,0.556,6.6,1.9,0.7,0.3,31-May-84,Sao Paulo,Brazil
385,Steve Kerr,15,1989,2003,910,16207,2042,4263,726,1599,627,726,186,1060,1658,476,46,504,847,5437,0.479,0.454,0.864,17.8,6,1.2,1.8,27-Sep-65,Beirut,Lebanon
386,Rony Seikaly,11,1989,1999,678,21395,3647,7540,6,32,2691,3961,2142,6424,860,453,872,1913,2341,9991,0.484,0.188,0.679,31.6,14.7,9.5,1.3,10-May-65,Beirut,Lebanon
388,Salah Mejri,4,2016,2019,204,2430,280,464,12,41,121,205,259,808,94,72,190,123,382,693,0.603,0.293,0.59,11.9,3.4,4,0.5,15-Jun-86,Jendouba,Tunisia
390,Richard Petruška,1,1994,1994,22,92,20,46,7,15,6,8,9,31,1,2,3,15,15,53,0.435,0.467,0.75,4.2,2.4,1.4,0,25-Jan-69,Levice,Slovakia
392,Rui Hachimura,1,2020,2020,48,1444,254,545,25,87,116,140,78,294,87,37,8,53,105,649,0.466,0.287,0.829,30.1,13.5,6.1,1.8,8-Feb-98,Toyama,Japan
393,Yuta Tabuse,1,2005,2005,4,17,1,6,1,1,4,4,2,4,3,0,0,1,1,7,0.167,1,1,4.3,1.8,1,0.8,5-Oct-80,Yokohama,Japan
394,Yuta Watanabe,2,2019,2020,33,279,30,85,5,24,10,18,11,51,13,9,2,8,20,75,0.353,0.208,0.556,8.5,2.3,1.5,0.4,13-Oct-94,Kagawa,Japan
396,Esteban Batista,2,2006,2007,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,0.438,0,0.617,8.2,1.7,2.5,0.2,2-Sep-83,Montevideo,Uruguay
398,Gorgui Dieng,7,2014,2020,515,11344,1553,3108,116,339,836,1061,949,3166,702,427,506,603,1174,4058,0.5,0.342,0.788,22,7.9,6.1,1.4,18-Jan-90,Kebemer,Senegal
399,DeSagana Diop,12,2002,2013,601,8403,503,1177,1,6,178,381,834,2219,270,227,630,355,1219,1185,0.427,0.167,0.467,14,2,3.7,0.4,30-Jan-82,Dakar,Senegal
400,Tacko Fall,1,2020,2020,7,33,11,14,0,0,1,3,1,15,1,1,4,3,7,23,0.786,,0.333,4.7,3.3,2.1,0.1,10-Dec-95,Dakar,Senegal
401,Hamady N'Diaye,3,2011,2014,33,157,7,15,0,0,6,13,7,25,3,2,9,6,33,20,0.467,,0.462,4.8,0.6,0.8,0.1,12-Jan-87,Dakar,Senegal
402,Makhtar N'Diaye,1,1999,1999,4,27,1,4,0,0,3,4,3,5,1,0,1,1,9,5,0.25,,0.75,6.8,1.3,1.3,0.3,12-Dec-73,Dakar,Senegal
403,Mamadou N'Diaye,5,2001,2005,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,0.427,0,0.736,12.4,3.8,3.3,0.1,16-Jun-75,Dakar,Senegal
404,Boniface N'Dong,1,2006,2006,23,152,22,53,0,1,6,9,15,37,7,2,5,6,23,50,0.415,0,0.667,6.6,2.2,1.6,0.3,9-Mar-77,Dakar,Senegal
405,Maurice Ndour,1,2017,2017,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,0.453,0.143,0.731,10.3,3.1,2,0.3,18-Jun-92,Sindia,Senegal
406,Cheikh Samb,2,2008,2009,22,114,9,36,0,3,4,9,13,31,1,4,12,4,15,22,0.25,0,0.444,5.2,1,1.4,0,22-Oct-84,,Senegal
407,Mouhamed Sene,3,2007,2009,47,260,35,82,0,0,33,56,28,75,1,4,22,15,44,103,0.427,,0.589,5.5,2.2,1.6,0,12-May-86,Thies,Senegal
408,Pape Sow,3,2005,2007,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,0.416,,0.678,11.6,2.9,2.8,0.2,22-Nov-81,Dakar,Senegal
410,Ángel Delgado,1,2019,2019,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,0.2,,0.5,7.5,1.5,2,0,20-Nov-94,Santo Domingo,Dominican Republic
411,Luis Flores,1,2005,2005,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,0.483,0.5,1,4.8,2.2,0.2,0.7,11-Apr-81,San Pedro de Macoris,Dominican Republic
412,Francisco García,10,2006,2015,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,0.427,0.357,0.799,21.6,7.9,2.6,1.4,31-Dec-81,Santo Domingo,Dominican Republic
413,Al Horford,13,2008,2020,853,27810,4997,9612,464,1275,1432,1898,1798,7053,2818,688,1008,1344,1943,11890,0.52,0.364,0.754,32.6,13.9,8.3,3.3,3-Jun-86,Puerto Plata,Dominican Republic
414,Tito Horford,3,1989,1994,63,376,33,110,0,0,27,43,29,84,5,7,26,30,50,93,0.3,,0.628,6,1.5,1.3,0.1,19-Jan-66,La Romana,Dominican Republic
415,Felipe López,4,1999,2002,249,4145,550,1274,48,147,300,455,212,604,252,161,62,254,451,1448,0.432,0.327,0.659,16.6,5.8,2.4,1,19-Dec-74,Santo Domingo,Dominican Republic
416,Luis Montero,2,2016,2018,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,0.25,0.111,0.75,3.6,1,0.4,0.1,6-Apr-93,Santo Domingo,Dominican Republic
418,Carlos Arroyo,9,2002,2011,569,10651,1431,3269,137,405,771,956,210,965,1761,290,26,680,874,3770,0.438,0.338,0.806,18.7,6.6,1.7,3.1,30-Jul-79,Fajardo,Puerto Rico
419,J.J. Barea,14,2007,2020,831,16287,2832,6685,819,2330,932,1174,253,1748,3270,331,24,1264,1168,7415,0.424,0.352,0.794,19.6,8.9,2.1,3.9,26-Jun-84,Mayaguez,Puerto Rico
420,Gian Clavell,1,2018,2018,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20,0.333,0.4,1,9.1,2.9,1,0.4,26-Nov-93,Caguas,Puerto Rico
421,Guillermo Díaz,1,2008,2008,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,0.25,0,0.6,3,0.8,0.3,0.2,4-Mar-85,San Juan,Puerto Rico
422,Butch Lee,2,1979,1980,96,1834,296,658,0,0,181,238,40,137,307,87,1,164,148,773,0.45,,0.761,19.1,8.1,1.4,3.2,5-Dec-56,Santurce,Puerto Rico
423,José Ortiz,2,1989,1990,64,391,74,167,1,3,34,57,38,73,18,10,8,41,55,183,0.443,0.333,0.596,6.1,2.9,1.1,0.3,25-Oct-63,Albonito,Puerto Rico
424,Peter John Ramos,1,2005,2005,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,0.5,,0.5,3.3,1.8,0.7,0,13-May-85,Fajardo,Puerto Rico
425,Ramón Rivas,1,1989,1989,28,91,12,31,0,1,16,25,9,24,3,4,1,9,21,40,0.387,0,0.64,3.3,1.4,0.9,0.1,3-Jun-66,Carolina,Puerto Rico
427,Tomáš Satoranský,4,2017,2020,275,6404,756,1612,184,499,335,410,255,849,1131,240,41,371,498,2031,0.469,0.369,0.817,23.3,7.4,3.1,4.1,30-Oct-91,Prague,Czech Republic
428,Jan Veselý,3,2012,2014,162,2455,263,505,0,2,64,157,225,562,96,107,84,123,384,590,0.521,0,0.408,15.2,3.6,3.5,0.6,24-Apr-90,Ostrava,Czech Republic
429,Jiří Welsch,4,2003,2006,247,4596,516,1280,118,344,369,491,120,602,375,187,15,262,394,1519,0.403,0.343,0.752,18.6,6.1,2.4,1.5,27-Jan-80,Pardubice,Czech Republic
430,George Zídek,3,1996,1998,135,1328,161,395,1,4,130,166,108,286,32,14,12,69,241,453,0.408,0.25,0.783,9.8,3.4,2.1,0.2,2-Aug-73,Zlin,Czech Republic
432,Steven Adams,7,2014,2020,530,14207,2157,3664,1,10,876,1573,1823,4029,615,469,531,757,1384,5191,0.589,0.1,0.557,26.8,9.8,7.6,1.2,20-Jul-93,Rotorua,New Zealand
433,Aron Baynes,8,2013,2020,469,7390,1109,2239,84,257,489,611,718,2123,374,101,232,399,1045,2791,0.495,0.327,0.8,15.8,6,4.5,0.8,9-Dec-86,Gisborne,New Zealand
434,Sean Marks,11,1999,2011,230,2275,259,578,5,25,115,173,158,501,50,33,87,116,342,638,0.448,0.2,0.665,9.9,2.8,2.2,0.2,23-Aug-75,Auckland,New Zealand
435,Kirk Penney,2,2004,2005,6,30,2,9,1,4,0,0,0,2,2,1,0,5,1,5,0.222,0.25,,5,0.8,0.3,0.3,23-Nov-80,Auckland,New Zealand
437,Solomon Alabi,2,2011,2012,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,0.314,,0.7,7,1.5,2.3,0.2,21-Mar-88,Kaduna,Nigeria
438,Peter Aluma,1,1999,1999,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,0.5,,,2.5,1,1,0,23-Apr-73,Lagos,Nigeria
439,Yinka Dare,4,1995,1998,110,1002,86,217,0,0,61,107,101,281,4,12,70,96,179,233,0.396,,0.57,9.1,2.1,2.6,0,10-Oct-72,Kano,Nigeria
440,Obinna Ekezie,4,2000,2005,143,1516,165,390,0,1,180,250,146,383,31,38,27,95,254,510,0.423,0,0.72,10.6,3.6,2.7,0.2,22-Aug-75,Port Harcourt,Nigeria
441,Festus Ezeli,3,2013,2016,170,2394,275,536,0,0,162,291,292,725,63,48,166,133,328,712,0.513,,0.557,14.1,4.2,4.3,0.4,21-Oct-89,Benin City,Nigeria
442,Julius Nwosu,1,1995,1995,23,84,9,28,0,0,13,17,11,24,3,0,3,9,20,31,0.321,,0.765,3.7,1.3,1,0.1,1-May-71,Nkwere,Nigeria
443,Josh Okogie,2,2019,2020,136,3304,366,906,101,369,270,353,128,486,190,156,59,150,305,1103,0.404,0.274,0.765,24.3,8.1,3.6,1.4,1-Sep-98,Lagos,Nigeria
444,Hakeem Olajuwon*,18,1985,2002,1238,44222,10749,20991,25,124,5423,7621,4034,13748,3058,2162,3830,3667,4383,26946,0.512,0.202,0.712,35.7,21.8,11.1,2.5,21-Jan-63,Lagos,Nigeria
445,Michael Olowokandi,9,1999,2007,500,13129,1788,4109,0,0,559,936,951,3414,327,226,697,898,1518,4135,0.435,,0.597,26.3,8.3,6.8,0.7,3-Apr-75,Lagos,Nigeria
446,Olumide Oyedeji,3,2001,2003,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,0.495,,0.659,6.3,1.4,2.1,0.1,11-May-81,Ibadan,Nigeria
448,Pétur Guðmundsson,4,1982,1989,150,2060,251,508,1,2,190,252,166,563,153,35,96,195,400,693,0.494,0.5,0.754,13.7,4.6,3.8,1,30-Oct-58,Reykjavik,Iceland
450,Pat Burke,3,2003,2007,127,1293,199,488,9,36,61,92,90,266,44,28,40,87,180,468,0.408,0.25,0.663,10.2,3.7,2.1,0.3,14-Dec-73,Dublin,Ireland
452,Alaa Abdelnaby,5,1991,1995,256,3200,620,1236,0,3,225,321,283,846,85,71,69,247,484,1465,0.502,0,0.701,12.5,5.7,3.3,0.3,24-Jun-68,Cairo,Egypt
453,Abdel Nader,3,2018,2020,164,2083,264,627,103,293,101,141,41,287,84,58,42,103,191,732,0.421,0.352,0.716,12.7,4.5,1.8,0.5,25-Sep-93,Alexandria,Egypt
455,Miloš Babić,2,1991,1992,21,87,12,32,0,0,13,20,8,20,10,2,1,10,7,37,0.375,,0.65,4.1,1.8,1,0.5,23-Nov-68,Kraljevo,Serbia
456,Nemanja Bjelica,5,2016,2020,341,7435,1030,2208,417,1062,260,337,395,1630,598,232,153,339,862,2737,0.466,0.393,0.772,21.8,8,4.8,1.8,9-May-88,Belgrade,Serbia
457,Bogdan Bogdanović,3,2018,2020,209,5888,1042,2401,427,1142,320,397,97,673,732,208,46,344,447,2831,0.434,0.374,0.806,28.2,13.5,3.2,3.5,18-Aug-92,Belgrade,Serbia
458,Žarko Čabarkapa,3,2004,2006,150,1550,234,548,24,88,148,202,98,312,85,33,25,119,221,640,0.427,0.273,0.733,10.3,4.3,2.1,0.6,21-May-81,Zrenjanin,Serbia
459,Radisav Ćurčić,1,1993,1993,20,166,16,41,0,0,26,36,17,49,12,7,2,8,30,58,0.39,,0.722,8.3,2.9,2.5,0.6,26-Sep-65,Cacak,Serbia
460,Rastko Cvetković,1,1996,1996,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,0.313,0,0,3.4,0.7,0.8,0.2,22-Jun-70,Belgrade,Serbia
461,Vlade Divac*,16,1990,2005,1134,33838,5205,10510,100,426,2888,4176,2881,9326,3541,1288,1631,2470,3609,13398,0.495,0.235,0.692,29.8,11.8,8.2,3.1,3-Feb-68,Prijepolje,Serbia
462,Marko Guduric,1,2020,2020,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,0.395,0.301,0.923,11,3.9,1.7,1,8-Mar-95,Priboj,Serbia
463,Marko Jarić,7,2003,2009,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12-Oct-78,Belgrade,Serbia
464,Nikola Jokić,5,2016,2020,381,11054,2486,4741,347,1028,1143,1384,982,3657,2098,423,265,959,1084,6462,0.524,0.338,0.826,29,17,9.6,5.5,19-Feb-95,Sombor,Serbia
465,Nenad Krstić,7,2005,2011,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,0.494,0.143,0.73,25.2,10,5.4,0.8,25-Jul-83,Kraljevo,Serbia
466,Boban Marjanović,5,2016,2020,230,2241,537,925,8,27,352,457,320,930,126,52,83,164,276,1434,0.581,0.296,0.77,9.7,6.2,4,0.5,15-Aug-88,Zajecar,Serbia
467,Darko Miličić,10,2004,2013,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,0.46,0,0.574,18.5,6,4.2,0.9,20-Jun-85,Novi Sad,Serbia
468,Nemanja Nedović,1,2014,2014,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,0.205,0.167,0.875,5.9,1.1,0.6,0.5,16-Jun-91,Nova Varos,Serbia
469,Miroslav Raduljica,2,2014,2015,53,488,71,134,0,0,47,57,56,113,23,8,13,30,92,189,0.53,,0.825,9.2,3.6,2.1,0.4,5-Jan-88,Belgrade,Serbia
470,Igor Rakočević,1,2003,2003,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,0.379,0.417,0.806,5.8,1.9,0.4,0.8,29-Mar-78,Belgrade,Serbia
471,Željko Rebrača,5,2002,2006,215,3280,488,926,0,0,300,379,196,688,88,57,160,203,512,1276,0.527,,0.792,15.3,5.9,3.2,0.4,9-Apr-72,Apatin,Serbia
472,Alen Smailagić,1,2020,2020,14,139,20,40,3,13,16,19,10,27,13,3,4,11,14,59,0.5,0.231,0.842,9.9,4.2,1.9,0.9,18-Aug-00,Belgrade,Serbia
473,Dragan Tarlać,1,2001,2001,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,0.394,,0.758,13.9,2.4,2.8,0.7,9-May-73,Belgrade,Serbia
474,Miloš Teodosić,2,2018,2019,60,1284,168,400,98,259,43,53,19,142,241,26,6,118,130,477,0.42,0.378,0.811,21.4,8,2.4,4,19-Mar-87,Valjevo,Serbia
475,Mirsad Türkcan,1,2000,2000,17,90,14,38,0,6,5,8,13,33,5,3,1,8,14,33,0.368,0,0.625,5.3,1.9,1.9,0.3,7-Jun-76,Novi Pazar,Serbia
476,Slavko Vraneš,1,2004,2004,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,3,0,0,0,30-Jan-83,Belgrade,Serbia
477,Aleksandar Đorđević,1,1997,1997,8,61,8,16,5,7,4,5,1,5,5,0,0,5,3,25,0.5,0.714,0.8,7.6,3.1,0.6,0.6,26-Aug-67,Belgrade,Serbia
479,Marcin Gortat,12,2008,2019,806,20691,3401,6168,3,20,1146,1686,1759,6407,915,383,885,958,1775,7951,0.551,0.15,0.68,25.7,9.9,7.9,1.1,17-Feb-84,Lodz,Poland
480,Maciej Lampe,3,2004,2006,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,0.407,0.25,0.676,9.9,3.4,2.2,0.3,5-Feb-85,Lodz,Poland
481,Cezary Trybański,2,2003,2004,22,101,5,24,0,0,5,12,6,15,1,1,7,10,16,15,0.208,,0.417,4.6,0.7,0.7,0,22-Sep-79,Warsaw,Poland
483,Patrick Ewing*,17,1986,2002,1183,40594,9702,19241,19,125,5392,7289,2752,11607,2215,1136,2894,3537,4034,24815,0.504,0.152,0.74,34.3,21,9.8,1.9,5-Aug-62,Kingston,Jamaica
484,Omari Johnson,1,2018,2018,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,0.429,0.333,,18.8,5.5,2.8,1.8,26-Nov-89,Kingston,Jamaica
485,Jerome Jordan,2,2012,2015,65,491,67,127,0,0,46,54,66,132,17,9,21,24,73,180,0.528,,0.852,7.6,2.8,2,0.3,29-Sep-86,Kingston,Jamaica
486,Rumeal Robinson,6,1991,1997,336,6098,1014,2345,112,326,406,665,164,606,1179,301,54,580,599,2546,0.432,0.344,0.611,18.1,7.6,1.8,3.5,13-Nov-66,Mandeville,Jamaica
487,Samardo Samuels,3,2011,2013,109,1722,237,532,0,4,164,251,148,366,45,38,41,115,231,638,0.445,0,0.653,15.8,5.9,3.4,0.4,9-Jan-89,Trelawny,Jamaica
488,Wayne Sappleton,1,1985,1985,33,298,41,87,0,0,14,34,28,75,7,7,4,21,50,96,0.471,,0.412,9,2.9,2.3,0.2,17-Nov-60,Kingston,Jamaica
489,Gary Voce,1,1990,1990,1,4,1,3,0,0,0,0,2,2,0,0,0,0,0,2,0.333,,,4,2,2,0,24-Nov-65,,Jamaica
